Anita_Date,Anita_caseload
8/11/2019,14
8/12/2019,14
8/13/2019,15
8/14/2019,15
8/15/2019,15
8/16/2019,14
8/17/2019,14
8/18/2019,14
8/19/2019,14
8/20/2019,14
8/21/2019,14
8/22/2019,13
8/23/2019,13
8/24/2019,13
8/25/2019,13
8/26/2019,13
8/27/2019,13
8/28/2019,13
8/29/2019,13
8/30/2019,13
8/31/2019,14
9/1/2019,14
9/2/2019,14
9/3/2019,11
9/4/2019,11
9/5/2019,11
9/6/2019,11
9/7/2019,11
9/8/2019,11
9/9/2019,11
9/10/2019,12
9/11/2019,12
9/12/2019,13
9/13/2019,13
9/14/2019,13
9/15/2019,13
9/16/2019,11
9/17/2019,12
9/18/2019,13
9/19/2019,13
9/20/2019,12
9/21/2019,12
9/22/2019,12
9/23/2019,10
9/24/2019,11
9/25/2019,11
9/26/2019,11
9/27/2019,11
9/28/2019,11
9/29/2019,11
9/30/2019,12
10/1/2019,13
10/2/2019,13
10/3/2019,13
10/4/2019,12
10/5/2019,12
10/6/2019,12
10/7/2019,12
10/8/2019,11
10/9/2019,12
10/10/2019,11
10/11/2019,11
10/12/2019,11
10/13/2019,11
10/14/2019,12
10/15/2019,12
10/16/2019,13
10/17/2019,12
10/18/2019,12
10/19/2019,12
10/20/2019,12
10/21/2019,12
10/22/2019,11
10/23/2019,11
10/24/2019,11
10/25/2019,11
10/26/2019,11
10/27/2019,11
10/28/2019,11
10/29/2019,11
10/30/2019,12
10/31/2019,10
11/1/2019,11
11/2/2019,11
11/3/2019,11
11/4/2019,11
11/5/2019,12
11/6/2019,12
11/7/2019,11
11/8/2019,10
11/9/2019,10
11/10/2019,10
11/11/2019,10
11/12/2019,10
11/13/2019,10
11/14/2019,10
11/15/2019,11
11/16/2019,11
11/17/2019,11
11/18/2019,11
11/19/2019,11
11/20/2019,12
11/21/2019,12
11/22/2019,12
11/23/2019,12
11/24/2019,12
11/25/2019,12
11/26/2019,11
11/27/2019,12
11/28/2019,12
11/29/2019,12
11/30/2019,12
12/1/2019,12
12/2/2019,13
12/3/2019,13
12/4/2019,13
12/5/2019,13
12/6/2019,13
12/7/2019,13
12/8/2019,13
12/9/2019,13
12/10/2019,11
12/11/2019,11
12/12/2019,11
12/13/2019,10
12/14/2019,10
12/15/2019,10
12/16/2019,11
12/17/2019,11
12/18/2019,11
12/19/2019,11
12/20/2019,10
12/21/2019,10
12/22/2019,10
12/23/2019,8
12/24/2019,8
12/25/2019,8
12/26/2019,8
12/27/2019,8
12/28/2019,8
12/29/2019,8
12/30/2019,8
12/31/2019,8
1/1/2020,8
1/2/2020,8
1/3/2020,8
1/4/2020,8
1/5/2020,8
1/6/2020,9
1/7/2020,9
1/8/2020,9
1/9/2020,9
1/10/2020,9
1/11/2020,9
1/12/2020,9
1/13/2020,9
1/14/2020,7
1/15/2020,7
1/16/2020,7
1/17/2020,7
1/18/2020,7
1/19/2020,7
1/20/2020,7
1/21/2020,7
1/22/2020,7
1/23/2020,8
1/24/2020,8
1/25/2020,9
1/26/2020,9
1/27/2020,9
1/28/2020,10
1/29/2020,10
1/30/2020,11
1/31/2020,11
